i-6c8afca1	10.137.160.21	/dev/sda1	vol-f2b3fe1a	HTC-EM-SEA-1b-WEB01	HT.com
i-1e6b00ba	10.137.160.12	/dev/sdb	vol-5393b3bb	HT-DM-SEA-1b-Prod-webapp02	Emerging Content
i-1e6b00ba	10.137.160.12	/dev/sda1	vol-d193b339	HT-DM-SEA-1b-Prod-webapp02	Emerging Content
i-04c5c0087fced5d44	10.137.32.47	/dev/sda1	vol-020ab6e25699cda71	HTC-EM-SEA-1a-RHCS07	HT.com
i-04c5c0087fced5d44	10.137.32.47	sdf	vol-e4c94723	HTC-EM-SEA-1a-RHCS07	HT.com
i-04c5c0087fced5d44	10.137.32.47	sdg	vol-64c947a3	HTC-EM-SEA-1a-RHCS07	HT.com
i-04c5c0087fced5d44	10.137.32.47	sdh	vol-e2c94725	HTC-EM-SEA-1a-RHCS07	HT.com
i-04c5c0087fced5d44	10.137.32.47	sdi	vol-25c846e2	HTC-EM-SEA-1a-RHCS07	HT.com
i-a1c89d2f	10.137.35.11	/dev/xvda	vol-28c50eee	HT-SEA-1a-NIN-1	Wordpress
i-70386efe	10.137.34.12	/dev/sda1	vol-800cac46	HT-SEA-1a-SynHTS-Web-N	Emerging Content
i-0372573893b85f8c6	10.137.35.232	/dev/sda1	vol-0675aaa82f2c89d08	HT-SEA-CommonWP	Wordpress
i-3557ccf9	10.137.34.138	/dev/sdf	vol-5d739149	HTC-SEA-1a-AppMSG-01	HT.com
i-3557ccf9	10.137.34.138	/dev/sdg	vol-f17290e5	HTC-SEA-1a-AppMSG-01	HT.com
i-3557ccf9	10.137.34.138	/dev/sdh	vol-7d729069	HTC-SEA-1a-AppMSG-01	HT.com
i-3557ccf9	10.137.34.138	/dev/sda1	vol-8a95634c	HTC-SEA-1a-AppMSG-01	HT.com
i-f6d56478	10.137.66.78	/dev/sda1	vol-8195e046	HT-SEA-1a-TEST-SynWeb01	Emerging Content
i-0f139fb7f1e57bec5	10.137.32.132	/dev/sda1	vol-03ba8ac51b83b2d86	Mint-NewMoney-POC	Livemint
i-efd74b23	10.137.32.21	/dev/sda1	vol-a75a3360	HTC-EM-SEA-1a-WEB01	HT.com
i-efd74b23	10.137.32.21	/dev/sdf	vol-2254d4a6	HTC-EM-SEA-1a-WEB01	HT.com
i-efd74b23	10.137.32.21	/dev/sdg	vol-b1b63535	HTC-EM-SEA-1a-WEB01	HT.com
i-e21ba92e	10.137.0.21	/dev/sda1	vol-5fd4c44a	HTC-EM-SEA-1a-nat	HT.com
i-f6cde33a	10.137.32.60	/dev/sda1	vol-172e9303	HTC-EM-SEA-1a-GOLD	HT.com
i-7980b0b5	10.137.34.180	/dev/sda1	vol-60cd4a74	HT-SEA-1a-Syn-HTS-New-web	Emerging Content
i-2aaa1aa4	10.137.67.231	/dev/sdf	vol-3d9093fa	HT-SEA-1a-TEST-SynFTP	Emerging Content
i-2aaa1aa4	10.137.67.231	/dev/sda1	vol-aee29669	HT-SEA-1a-TEST-SynFTP	Emerging Content
i-5aadcbd4	10.137.34.235	/dev/sda1	vol-b016b334	HT-SEA-1a-AQMAPS	HT.com
i-0cd2a250dfd2fd31c	10.137.33.164	/dev/sda1	vol-065961e0ed896c0c2	HTC-EM-SEA-WEBAS	HT.com
i-1e91ff90	10.137.35.5	/dev/xvda	vol-1eeee8d9	MINT-EM-SEA-1a-PushWeb01	Livemint
i-bf5ec931	10.137.32.201	/dev/sda1	vol-914d1c56	MINT-EM-SEA-1a-GOLD	Livemint
i-3dd70bf2	10.137.35.109	/dev/sda1	vol-28c058ef	HT-DM-SEA-1a-Prod-Utils01	Emerging Content
i-3dd70bf2	10.137.35.109	/dev/sdb	vol-dbc1591c	HT-DM-SEA-1a-Prod-Utils01	Emerging Content
i-07f1260a2b5834847	10.137.37.39	/dev/sda1	vol-081492353021def79	HTLC-SEA-1a-HTLCWeb01	HTLC
i-00a38ee2a34f345d3	10.137.32.48	/dev/sda1	vol-0788bf7a17a6717b8	HTC-EM-SEA-1a-RHCS08	HT.com
i-00a38ee2a34f345d3	10.137.32.48	sdf	vol-161c5ad1	HTC-EM-SEA-1a-RHCS08	HT.com
i-00a38ee2a34f345d3	10.137.32.48	sdg	vol-611c5aa6	HTC-EM-SEA-1a-RHCS08	HT.com
i-00a38ee2a34f345d3	10.137.32.48	sdh	vol-4c1c5a8b	HTC-EM-SEA-1a-RHCS08	HT.com
i-00a38ee2a34f345d3	10.137.32.48	sdi	vol-5b1c5a9c	HTC-EM-SEA-1a-RHCS08	HT.com
i-00a38ee2a34f345d3	10.137.32.48	sdj	vol-f31d5b34	HTC-EM-SEA-1a-RHCS08	HT.com
i-00a38ee2a34f345d3	10.137.32.48	sdk	vol-a61c5a61	HTC-EM-SEA-1a-RHCS08	HT.com
i-00a38ee2a34f345d3	10.137.32.48	sdl	vol-981c5a5f	HTC-EM-SEA-1a-RHCS08	HT.com
i-00a38ee2a34f345d3	10.137.32.48	sdm	vol-6f1c5aa8	HTC-EM-SEA-1a-RHCS08	HT.com
i-512604df	10.137.35.242	/dev/sda1	vol-c8b5d10e	HT-SEA-1a-StaticContent	HT.com
i-052114c9ab18411c9	10.137.34.230	/dev/sda1	vol-0bf352e38ea244279	HT-CirculationCRM	Corporate
i-0299f3a6	10.137.160.62	/dev/sdb	vol-9f664677	HT-DM-SEA-1b-Prod-Utils03	Emerging Content
i-0299f3a6	10.137.160.62	/dev/sda1	vol-90664678	HT-DM-SEA-1b-Prod-Utils03	Emerging Content
